Pclass,Age,Fare,Family_Size,Has_Cabin,Sex_encoded,Embarked_encoded,Family_Size_Group_encoded,Age_Group_encoded,Fare_Range_encoded,Title_encoded,Cabin_Deck_encoded,Ticket_Group_encoded,Ticket_Share_Type_encoded,Ticket_Number_Length,Ticket_Group_Size,Pclass_Sex_encoded,Age_Sex_Group_encoded,Fare_Per_Person,Name_Length,Has_Parentheses,Age_Sex_Interaction_encoded,Pclass1_Male,Pclass1_Female,YoungAdult_Male_LowClass
2,32.0,13.0,1,0,0,2,0,1,2,3,8,5,2,6,1,2,1,13.0,19,1,2,0,0,0
3,25.0,7.775,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.775,22,0,7,0,0,1
3,19.0,7.8542,2,0,0,2,2,3,1,1,8,5,2,6,1,4,1,3.9271,47,0,6,0,0,0
1,52.0,30.5,1,1,1,2,0,2,0,4,2,5,2,6,1,1,2,30.5,30,0,5,1,0,0
1,71.0,34.6542,1,1,1,0,0,2,3,2,0,2,2,5,1,1,2,34.6542,25,0,5,1,0,0
3,32.0,7.925,1,0,1,2,0,1,2,2,8,1,2,8,1,5,2,7.925,18,0,3,0,0,0
3,19.0,7.65,1,1,1,2,0,3,1,2,5,5,2,6,1,5,2,7.65,42,0,7,0,0,1
3,25.0,15.5,2,0,1,1,2,3,0,2,8,5,1,6,2,5,2,7.75,19,0,7,0,0,1
3,22.0,9.8375,1,0,0,2,0,3,2,1,8,5,2,4,1,4,1,9.8375,27,0,6,0,0,0
1,50.0,55.9,2,1,1,2,2,2,3,2,4,5,1,5,2,1,2,27.95,25,0,5,1,0,0
3,4.0,27.9,6,0,1,2,1,0,0,0,8,5,0,6,6,5,0,4.6499999999999995,21,0,1,0,0,0
1,36.0,120.0,4,1,0,2,2,1,3,3,1,5,0,6,4,0,1,30.0,41,1,2,0,1,0
1,19.0,53.1,2,1,1,2,2,3,3,2,3,5,1,6,2,1,2,26.55,25,0,7,1,0,0
1,30.0,31.0,1,0,0,0,0,1,0,1,8,5,1,6,2,0,1,31.0,23,0,2,0,1,0
3,25.0,56.4958,1,0,1,2,0,3,3,2,8,5,0,4,8,5,2,56.4958,15,0,7,0,0,1
3,30.0,7.25,1,0,1,2,0,1,1,2,8,2,2,4,1,5,2,7.25,30,0,3,0,0,0
3,21.0,8.05,1,0,1,2,0,3,2,2,8,0,2,6,1,5,2,8.05,26,0,7,0,0,1
2,30.0,24.0,2,0,1,0,2,1,0,2,8,1,1,4,2,3,2,12.0,19,0,3,0,0,0
2,18.0,23.0,2,0,0,2,2,3,0,1,8,5,1,6,2,2,1,11.5,19,0,6,0,0,0
3,19.0,0.0,1,0,1,2,0,3,1,2,8,1,0,0,4,5,2,0.0,31,0,7,0,0,1
1,38.0,227.525,1,1,0,0,0,1,3,1,2,2,0,5,5,0,1,227.525,29,0,2,0,1,0
3,10.0,27.9,6,0,1,2,1,0,0,0,8,5,0,6,6,5,0,4.6499999999999995,28,0,1,0,0,0
2,29.5,0.0,1,0,1,2,0,3,1,2,8,5,2,6,1,3,2,0.0,20,0,7,0,0,1
3,29.0,10.4625,3,1,0,2,2,3,2,3,6,5,1,6,2,4,1,3.4875000000000003,42,1,6,0,0,0
3,25.0,7.3125,1,0,1,2,0,3,1,2,8,1,2,6,1,5,2,7.3125,21,0,7,0,0,1
3,28.0,15.85,2,0,1,2,2,3,0,2,8,1,1,8,2,5,2,7.925,30,0,7,0,0,1
3,39.0,31.275,7,0,0,2,1,1,0,3,8,5,0,6,7,4,1,4.4678571428571425,57,1,2,0,0,0
3,2.0,10.4625,2,1,0,2,2,0,2,1,6,5,1,6,2,4,0,5.23125,26,0,0,0,0,0
2,30.0,10.5,1,0,1,2,0,1,2,2,8,4,2,5,1,3,2,10.5,18,0,3,0,0,0
3,25.0,7.225,1,0,1,0,0,3,1,2,8,5,2,4,1,5,2,7.225,16,0,7,0,0,1
3,14.0,39.6875,6,0,1,2,1,0,3,2,8,5,0,7,7,5,0,6.614583333333333,24,0,1,0,0,0
1,35.0,52.0,2,0,0,2,2,1,3,3,8,5,1,6,2,0,1,26.0,51,1,2,0,1,0
1,17.0,110.8833,3,1,1,0,2,0,3,2,2,5,0,5,4,1,2,36.9611,27,0,1,1,0,0
3,25.0,7.725,1,0,1,1,0,3,1,2,8,5,2,5,1,5,2,7.725,18,0,7,0,0,1
3,18.0,6.75,1,0,0,1,0,3,1,1,8,5,2,6,1,4,1,6.75,28,0,6,0,0,0
3,23.0,7.55,1,0,0,2,0,3,1,1,8,3,2,4,1,4,1,7.55,31,0,6,0,0,0
3,50.0,8.05,1,0,1,2,0,2,2,2,8,0,2,5,1,5,2,8.05,24,0,5,0,0,0
1,21.0,262.375,5,1,0,0,1,3,3,1,1,2,0,5,7,0,1,52.475,37,0,6,0,1,0
1,58.0,146.5208,1,1,0,0,0,2,3,1,1,2,1,5,3,0,1,146.5208,20,0,4,0,1,0
2,3.0,41.5792,4,0,0,0,2,0,3,1,8,1,0,4,4,2,0,10.3948,40,0,0,0,0,0
2,13.0,19.5,2,0,0,2,2,0,0,1,8,5,1,6,2,2,0,9.75,33,0,0,0,0,0
2,57.0,12.35,1,0,1,1,0,2,2,4,8,5,2,6,1,3,2,12.35,30,0,5,0,0,0
2,16.0,26.0,1,0,1,2,0,0,0,2,8,5,1,6,2,3,2,26.0,19,0,1,0,0,0
3,22.0,7.75,1,0,0,1,0,3,1,1,8,5,2,6,1,4,1,7.75,24,0,6,0,0,0
2,60.0,39.0,3,0,1,2,2,2,3,2,8,5,1,5,3,3,2,13.0,33,0,5,0,0,0
1,22.0,135.6333,1,0,1,0,0,3,3,2,8,2,0,5,4,1,2,135.6333,19,0,7,1,0,0
2,30.0,13.0,1,0,1,2,0,1,2,2,8,5,2,5,1,3,2,13.0,26,0,3,0,0,0
3,17.0,8.6625,1,0,1,2,0,0,2,2,8,5,2,6,1,5,2,8.6625,19,0,1,0,0,0
3,25.0,7.8958,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.8958,21,0,7,0,0,1
3,27.0,8.6625,1,0,1,2,0,3,2,2,8,5,2,6,1,5,2,8.6625,17,0,7,0,0,1
3,36.0,0.0,1,0,1,2,0,1,1,2,8,1,0,0,4,5,2,0.0,19,0,3,0,0,0
3,22.0,8.05,1,0,0,2,0,3,2,3,8,5,2,6,1,4,1,8.05,39,1,6,0,0,0
3,15.0,7.2292,1,0,0,0,0,0,1,3,8,5,2,4,1,4,0,7.2292,30,1,0,0,0,0
3,29.0,9.4833,1,0,1,2,0,3,2,2,8,5,2,4,1,5,2,9.4833,26,0,7,0,0,1
1,30.0,106.425,1,0,0,0,0,1,3,1,8,2,1,5,3,0,1,106.425,19,0,2,0,1,0
3,25.0,8.05,1,0,1,2,0,3,2,2,8,5,2,6,1,5,2,8.05,24,0,7,0,0,1
1,51.0,61.3792,2,0,1,0,2,2,3,2,8,2,1,5,2,1,2,30.6896,27,0,5,1,0,0
3,16.0,7.7333,1,0,0,1,0,0,1,1,8,5,2,5,1,4,1,7.7333,32,0,0,0,0,0
3,22.0,7.75,1,0,0,1,0,3,1,1,8,5,2,5,1,4,1,7.75,19,0,6,0,0,0
3,1.0,15.7417,3,0,0,0,2,0,0,1,8,5,1,4,3,4,0,5.247233333333333,27,1,0,0,0,0
3,22.0,7.7958,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.7958,19,0,7,0,0,1
3,15.0,22.3583,3,1,0,0,2,0,0,1,5,5,1,4,3,4,0,7.452766666666666,17,0,0,0,0,0
3,7.0,29.125,6,0,1,1,1,0,0,0,8,5,0,6,6,5,0,4.854166666666667,18,0,1,0,0,0
1,42.0,30.5,1,1,1,2,0,1,0,2,2,5,2,5,1,1,2,30.5,21,0,3,1,0,0
3,25.0,7.75,2,0,1,1,2,3,1,2,8,5,2,6,1,5,2,3.875,19,0,7,0,0,1
1,33.0,53.1,2,1,0,2,2,1,3,3,4,5,1,6,2,0,1,26.55,46,1,2,0,1,0
3,7.0,39.6875,6,0,1,2,1,0,3,0,8,5,0,7,7,5,0,6.614583333333333,26,0,1,0,0,0
3,32.0,7.75,1,0,1,1,0,1,1,2,8,5,2,6,1,5,2,7.75,19,0,3,0,0,0
2,50.0,13.0,1,0,1,2,0,2,2,2,8,5,2,6,1,3,2,13.0,23,0,5,0,0,0
2,59.0,13.5,1,0,1,2,0,2,2,2,8,5,2,6,1,3,2,13.5,25,0,5,0,0,0
1,28.0,82.1708,2,0,1,0,2,3,3,2,8,2,1,5,2,1,2,41.0854,23,0,7,1,0,0
3,25.0,8.05,1,0,1,2,0,3,2,2,8,1,2,6,1,5,2,8.05,24,0,7,0,0,1
1,60.0,26.55,1,0,1,2,0,2,0,4,8,5,2,6,1,1,2,26.55,15,0,5,1,0,0
3,17.0,14.4583,1,0,0,0,0,0,0,1,8,5,1,4,2,4,1,14.4583,21,0,0,0,0,0
2,32.5,30.0708,2,0,1,0,2,1,0,2,8,5,1,6,2,3,2,15.0354,20,0,3,0,0,0
1,21.0,77.9583,1,1,0,2,0,3,3,1,3,5,1,5,3,0,1,77.9583,29,0,6,0,1,0
3,3.0,31.3875,7,0,1,2,1,0,3,0,8,5,0,6,7,5,0,4.483928571428572,33,0,1,0,0,0
2,19.0,10.5,1,0,1,2,0,3,2,2,8,5,2,5,1,3,2,10.5,31,0,7,0,0,1
2,24.0,18.75,6,0,0,2,1,3,0,3,8,5,1,5,3,2,1,3.125,37,1,6,0,0,0
1,18.0,79.65,3,1,0,2,2,3,3,1,4,5,1,6,3,0,1,26.55,19,0,6,0,1,0
1,49.0,25.9292,1,1,0,2,0,1,0,4,3,5,2,5,1,0,1,25.9292,27,1,2,0,1,0
3,41.0,20.2125,3,0,0,2,2,1,0,3,8,5,1,6,3,4,1,6.7375,40,1,2,0,0,0
3,30.0,9.5,1,0,1,2,0,1,2,2,8,5,2,6,1,5,2,9.5,23,0,3,0,0,0
3,59.0,7.25,1,0,1,2,0,2,1,2,8,5,2,6,1,5,2,7.25,17,0,5,0,0,0
3,4.0,13.4167,2,0,0,0,2,0,2,1,8,5,1,6,2,4,0,6.70835,18,0,0,0,0,0
3,15.0,15.2458,3,0,0,0,2,0,0,3,8,5,1,4,3,4,0,5.081933333333333,29,1,0,0,0,0
3,51.0,7.75,1,0,1,2,0,2,1,2,8,5,2,6,1,5,2,7.75,32,0,5,0,0,0
2,45.0,26.25,3,0,0,2,2,1,0,3,8,1,1,5,3,2,1,8.75,43,1,2,0,0,0
3,18.0,20.2125,3,0,1,2,2,3,0,2,8,5,1,6,3,5,2,6.7375,27,0,7,0,0,1
3,22.0,69.55,11,0,0,2,1,3,3,1,8,3,0,4,11,4,1,6.322727272727272,23,0,6,0,0,0
3,22.0,15.5,2,0,0,1,2,3,0,1,8,5,1,6,2,4,1,7.75,27,0,6,0,0,0
2,28.0,33.0,2,0,1,2,2,3,3,4,8,5,1,6,3,3,2,16.5,17,0,7,0,0,1
3,55.5,8.05,1,0,1,2,0,2,2,2,8,1,2,6,1,5,2,8.05,16,0,5,0,0,0
1,24.0,247.5208,2,1,1,0,2,3,3,2,1,2,1,5,3,1,2,123.7604,24,0,7,1,0,0
1,45.0,0.0,1,0,1,2,0,1,1,2,8,5,2,6,1,1,2,0.0,29,0,3,1,0,0
3,22.0,16.1,2,0,0,2,2,3,0,3,8,5,1,6,2,4,1,8.05,41,1,6,0,0,0
3,25.0,23.45,4,0,1,2,2,3,0,2,8,4,0,4,4,5,2,5.8625,22,0,7,0,0,1
3,25.0,69.55,11,0,1,2,1,3,3,0,8,3,0,4,11,5,2,6.322727272727272,26,0,7,0,0,1
2,29.0,26.0,2,0,0,2,2,3,0,3,8,5,1,6,2,2,1,13.0,45,1,6,0,0,0
1,58.0,153.4625,2,1,0,2,2,2,3,3,2,2,1,5,3,0,1,76.73125,45,1,4,0,1,0
3,26.0,7.925,1,0,0,2,0,3,2,1,8,1,2,8,1,4,1,7.925,22,0,6,0,0,0
1,44.0,57.9792,2,1,0,0,2,1,3,3,1,5,1,6,2,0,1,28.9896,47,1,2,0,1,0
3,23.5,7.225,1,0,1,0,0,3,1,2,8,5,2,4,1,5,2,7.225,17,0,7,0,0,1
3,32.0,8.3625,1,0,1,2,0,1,2,2,8,5,2,4,1,5,2,8.3625,32,0,3,0,0,0
2,26.0,10.5,1,0,1,2,0,3,2,2,8,5,2,5,1,3,2,10.5,19,0,7,0,0,1
3,16.0,8.05,1,0,1,2,0,0,2,2,8,0,2,6,1,5,2,8.05,28,0,1,0,0,0
3,19.0,7.775,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.775,27,0,7,0,0,1
3,25.0,7.8958,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.8958,21,0,7,0,0,1
3,48.0,7.8542,1,0,1,2,0,1,1,2,8,5,2,6,1,5,2,7.8542,23,0,3,0,0,0
3,25.0,7.75,1,0,1,1,0,3,1,2,8,5,2,6,1,5,2,7.75,17,0,7,0,0,1
3,9.0,46.9,8,0,1,2,1,0,3,0,8,3,0,4,8,5,0,5.8625,30,0,1,0,0,0
1,35.0,83.475,2,1,0,2,2,1,3,3,2,5,1,5,2,0,1,41.7375,44,1,2,0,1,0
3,12.0,11.2417,2,0,1,0,2,0,2,0,8,5,1,4,2,5,0,5.62085,28,0,1,0,0,0
3,31.0,7.8542,1,0,0,2,0,1,1,1,8,5,2,6,1,4,1,7.8542,19,0,2,0,0,0
2,27.0,13.8583,2,0,0,0,2,3,2,1,8,1,2,4,1,2,1,6.92915,28,0,6,0,0,0
1,43.0,211.3375,2,1,0,2,2,1,3,3,1,5,0,5,4,0,1,105.66875,53,1,2,0,1,0
3,30.5,7.75,1,0,0,1,0,1,1,1,8,5,2,6,1,4,1,7.75,18,0,2,0,0,0
3,34.0,8.05,1,0,1,2,0,1,2,2,8,5,2,6,1,5,2,8.05,19,0,3,0,0,0
2,29.5,0.0,1,0,1,2,0,3,1,2,8,5,1,6,3,3,2,0.0,21,0,7,0,0,1
2,23.0,13.0,1,0,1,2,0,3,2,2,8,5,2,6,1,3,2,13.0,28,0,7,0,0,1
3,24.0,16.7,3,1,0,2,2,3,0,3,6,4,1,4,3,4,1,5.566666666666666,51,1,6,0,0,0
2,39.0,26.0,1,0,1,2,0,1,0,2,8,5,1,6,2,3,2,26.0,46,1,3,0,0,0
2,24.0,13.0,1,1,0,2,0,3,2,1,5,5,2,6,1,2,1,13.0,29,0,6,0,0,0
3,25.0,7.8292,1,0,1,1,0,3,1,2,8,5,2,6,1,5,2,7.8292,20,0,7,0,0,1
3,0.75,19.2583,4,0,0,0,2,0,0,1,8,5,0,4,4,4,0,4.814575,29,0,0,0,0,0
2,34.0,13.0,1,0,1,2,0,1,2,2,8,5,2,5,1,3,2,13.0,28,0,3,0,0,0
3,23.0,9.225,1,0,1,2,0,3,2,2,8,5,2,4,1,5,2,9.225,22,0,7,0,0,1
2,42.0,26.0,2,0,0,2,2,1,0,3,8,1,1,4,2,2,1,13.0,51,1,2,0,0,0
3,25.0,8.4583,1,0,1,1,0,3,2,2,8,5,2,6,1,5,2,8.4583,16,0,7,0,0,1
3,22.0,8.05,1,0,1,2,0,3,2,2,8,5,2,5,1,5,2,8.05,21,0,7,0,0,1
2,0.83,29.0,3,0,1,2,2,0,0,0,8,5,1,6,3,3,0,9.666666666666666,29,0,1,0,0,0
3,22.0,7.55,1,0,0,2,0,3,1,1,8,4,2,4,1,4,1,7.55,28,0,6,0,0,0
2,52.0,13.5,1,0,1,2,0,2,2,2,8,5,2,6,1,3,2,13.5,26,0,5,0,0,0
3,17.0,7.0542,2,0,1,2,2,0,1,2,8,5,2,6,1,5,2,3.5271,25,0,1,0,0,0
1,49.0,89.1042,2,1,1,0,2,1,3,2,2,5,1,5,2,1,2,44.5521,24,0,3,1,0,0
3,44.0,7.925,1,0,1,2,0,1,2,2,8,1,2,8,1,5,2,7.925,25,0,3,0,0,0
3,6.0,12.475,2,1,1,2,2,0,2,0,4,5,1,6,2,5,0,6.2375,19,0,1,0,0,0
1,64.0,26.0,1,0,1,2,0,2,0,2,8,5,2,3,1,1,2,26.0,28,0,5,1,0,0
3,18.0,7.775,1,0,0,2,0,3,1,1,8,5,2,6,1,4,1,7.775,31,0,6,0,0,0
3,19.0,14.5,1,0,1,2,0,3,0,2,8,5,1,6,2,5,2,14.5,20,0,7,0,0,1
3,26.0,20.575,4,0,1,2,2,3,0,2,8,3,0,4,4,5,2,5.14375,23,0,7,0,0,1
2,43.0,26.25,3,0,1,2,2,1,0,2,8,1,1,5,3,3,2,8.75,18,0,3,0,0,0
3,25.0,24.15,1,0,1,1,0,3,0,2,8,5,1,6,3,5,2,24.15,17,0,7,0,0,1
3,23.0,7.925,1,0,0,2,0,3,2,1,8,1,2,8,1,4,1,7.925,28,0,6,0,0,0
3,16.0,39.6875,6,0,1,2,1,0,3,2,8,5,0,7,7,5,2,6.614583333333333,25,0,1,0,0,0
1,36.0,71.0,3,1,0,2,2,1,3,1,1,4,1,4,2,0,1,23.666666666666668,23,0,2,0,1,0
1,22.0,55.0,2,1,0,2,2,3,3,1,4,5,1,6,2,0,1,27.5,27,0,6,0,1,0
3,19.0,7.8958,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.8958,20,0,7,0,0,1
3,22.0,7.8792,1,0,0,1,0,3,1,1,8,5,2,6,1,4,1,7.8792,20,0,6,0,0,0
3,47.0,9.0,1,0,1,2,0,1,2,2,8,5,2,6,1,5,2,9.0,27,0,3,0,0,0
2,40.0,15.75,1,0,0,2,0,1,0,3,8,3,1,5,2,2,1,15.75,50,1,2,0,0,0
3,20.0,9.825,2,0,0,2,2,3,2,1,8,5,2,4,1,4,1,4.9125,23,0,6,0,0,0
2,36.0,26.0,2,0,0,2,2,1,0,3,8,5,1,6,2,2,1,13.0,52,1,2,0,0,0
3,18.0,7.8542,3,0,1,2,2,3,1,2,8,5,2,6,1,5,2,2.6180666666666665,22,0,7,0,0,1
2,18.0,11.5,1,0,1,2,0,3,2,2,8,5,2,5,1,3,2,11.5,24,0,7,0,0,1
3,32.0,56.4958,1,0,1,2,0,1,3,2,8,5,0,4,8,5,2,56.4958,13,0,3,0,0,0
3,33.0,7.8958,1,0,1,0,0,1,1,2,8,5,2,6,1,5,2,7.8958,20,0,3,0,0,0
1,35.0,26.55,1,0,1,0,0,1,0,2,8,5,2,6,1,1,2,26.55,31,1,3,1,0,0
1,64.0,263.0,6,1,1,2,1,2,3,2,2,5,0,5,6,1,2,43.833333333333336,17,0,5,1,0,0
1,52.0,79.65,3,1,1,2,2,2,3,2,4,5,1,6,3,1,2,26.55,17,0,5,1,0,0
3,24.0,19.2583,4,0,0,0,2,3,0,3,8,5,0,4,4,4,1,4.814575,37,1,6,0,0,0
3,61.0,6.2375,1,0,1,2,0,2,1,2,8,5,2,6,1,5,2,6.2375,25,0,5,0,0,0
2,24.0,10.5,1,0,1,2,0,3,2,2,8,3,2,5,1,3,2,10.5,33,0,7,0,0,1
3,43.0,8.05,1,0,1,2,0,1,2,2,8,0,2,5,1,5,2,8.05,15,0,3,0,0,0
2,34.0,10.5,1,1,0,2,0,1,2,3,5,3,2,5,1,2,1,10.5,28,1,2,0,0,0
3,63.0,9.5875,1,0,0,2,0,2,2,3,8,5,2,4,1,4,1,9.5875,22,1,4,0,0,0
1,24.0,69.3,1,1,0,0,0,3,3,4,1,2,1,5,2,0,1,69.3,20,0,6,0,1,0
1,38.0,71.2833,2,1,0,0,2,1,3,3,2,2,1,5,2,0,1,35.64165,51,1,2,0,1,0
3,21.0,7.25,1,0,1,2,0,3,1,2,8,1,2,7,1,5,2,7.25,19,0,7,0,0,1
1,45.0,164.8667,3,0,0,2,2,1,3,3,8,5,0,5,4,0,1,54.95556666666667,42,1,2,0,1,0
3,16.0,34.375,5,0,1,2,1,0,3,2,8,4,0,4,5,5,2,6.875,22,0,1,0,0,0
3,20.0,7.925,2,0,1,2,2,3,2,2,8,1,2,8,1,5,2,3.9625,27,0,7,0,0,1
2,29.0,15.05,1,0,1,0,0,3,0,2,8,1,2,4,1,3,2,15.05,16,0,7,0,0,1
3,41.0,39.6875,6,0,0,2,1,1,3,3,8,5,0,7,7,4,1,6.614583333333333,38,1,2,0,0,0
2,30.0,13.0,1,0,1,2,0,1,2,2,8,5,2,6,1,3,2,13.0,27,0,3,0,0,0
3,29.0,8.05,1,0,1,2,0,3,2,2,8,5,2,6,1,5,2,8.05,20,0,7,0,0,1
3,3.0,21.075,5,0,0,2,1,0,0,1,8,5,0,6,5,4,0,4.215,26,0,0,0,0,0
2,3.0,26.0,3,1,1,2,2,0,0,0,5,5,1,6,3,3,0,8.666666666666666,26,0,1,0,0,0
2,54.0,26.0,2,0,1,2,2,2,0,4,8,5,1,6,2,3,2,13.0,29,0,5,0,0,0
3,28.0,7.925,3,0,1,2,2,3,2,2,8,5,2,7,1,5,2,2.6416666666666666,28,0,7,0,0,1
3,36.0,7.4958,1,0,1,2,0,1,1,2,8,5,2,6,1,5,2,7.4958,16,0,3,0,0,0
1,48.0,26.55,1,1,1,2,0,1,0,2,4,5,2,5,1,1,2,26.55,19,0,3,1,0,0
3,31.0,8.6833,1,0,0,2,0,1,2,3,8,5,2,6,1,4,1,8.6833,16,0,2,0,0,0
3,26.0,7.8958,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.8958,17,0,7,0,0,1
3,25.0,25.4667,5,0,1,2,1,3,0,0,8,5,0,4,5,5,2,5.0933399999999995,29,0,7,0,0,1
3,0.42,8.5167,2,0,1,0,2,0,2,0,8,5,1,4,2,5,0,4.25835,31,0,1,0,0,0
3,25.0,7.775,1,0,0,2,0,3,1,1,8,5,2,6,1,4,1,7.775,37,0,6,0,0,0
1,42.0,52.0,1,1,1,2,0,1,3,2,0,5,1,6,2,1,2,52.0,27,0,3,1,0,0
3,38.0,8.6625,1,0,1,2,0,1,2,2,8,5,2,6,1,5,2,8.6625,15,0,3,0,0,0
3,25.0,8.05,1,0,1,2,0,3,2,2,8,1,2,6,1,5,2,8.05,26,0,7,0,0,1
3,23.5,15.2458,3,0,1,0,2,3,0,0,8,5,1,4,3,5,2,5.081933333333333,49,1,7,0,0,1
3,15.0,7.2292,3,0,1,0,2,0,1,2,8,5,2,4,1,5,0,2.409733333333333,18,0,1,0,0,0
2,35.0,26.0,1,0,1,2,0,1,0,2,8,5,1,6,2,3,2,26.0,20,0,3,0,0,0
3,25.0,7.775,1,0,1,2,0,3,1,2,8,5,2,6,1,5,2,7.775,26,0,7,0,0,1
